,variable,static_dynamic,category,disjoint_c_name,djbrank,djcrank,djdname,djdrank,calc,decomp1,decomp2,decomp3,nocalcs,speeddist,work,oecd,struct,djdrank1,djdrank2,djdrank3,djdrank4,djdrank5,djdrank6,djdrank7,djdrank8,djdrank9,djdrank10,djdrankseppluscal1,djdrankseppluscal2,djdrankseppluscal3,djdrankseppluscal4,djdrankseppluscal5,djdrankseppluscal6,djdrankseppluscal7,djdrankseppluscal8,djdrankseppluscal9,djdrankseppluscal10,djdrankseppluscal99
0,cal_fc,composite,composite,Calculated Fuel Consumption,1,1,Calculated Fuel Consumption,1,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,ME_W_ref_first,static,characteristic,Main engine characteristics,2,2,Admiralty terms,2,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False
2,rel_power_ship_sum,composite,composite,Relative power term,99,3,Admiralty terms,2,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False
3,ME_SFC_base_first,static,characteristic,Main engine characteristics,99,2,SFC components,3,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False
4,rel_power_ship_squared_sum,composite,composite,Relative power term powers,99,4,SFC components,3,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False
5,rel_power_ship_cubed_sum,composite,composite,Relative power term powers,99,4,SFC components,3,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False
6,Draught..m.,static,characteristic,Calculation characteristics,4,6,Calculation characteristics,4,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False
7,Speed..knots.,static,characteristic,Calculation characteristics,4,6,Calculation characteristics,4,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False
8,age,static,characteristic,Additional characteristics,5,7,Additional characteristics,5,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False
9,Beam.Mld..m.,static,characteristic,Additional characteristics,5,7,Additional characteristics,5,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False
10,Dwt,static,characteristic,Additional characteristics,5,7,Additional characteristics,5,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False
11,GT,static,characteristic,Additional characteristics,5,7,Additional characteristics,5,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False
12,LBP..m.,static,characteristic,Additional characteristics,5,7,Additional characteristics,5,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False
13,LDT,static,characteristic,Additional characteristics,5,7,Additional characteristics,5,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False
14,LOA..m.,static,characteristic,Additional characteristics,5,7,Additional characteristics,5,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False
15,Main.Bunker.Capacity..m3.,static,characteristic,Additional characteristics,5,7,Additional characteristics,5,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False
16,NT,static,characteristic,Additional characteristics,5,7,Additional characteristics,5,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False
17,Size.Category,static,characteristic,Additional characteristics,5,7,Additional characteristics,5,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False
18,TPC,static,characteristic,Additional characteristics,5,7,Additional characteristics,5,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False
19,t_over_t_ref_without_m_sum,composite,composite,Admiralty components,2,5,Admiralty components,6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False
20,v_over_v_ref_without_n_sum,composite,composite,Admiralty components,2,5,Admiralty components,6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False
21,t_over_t_ref_with_m_sum,composite,composite,Admiralty terms,6,8,Admiralty separate terms,7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False
22,v_over_v_ref_with_n_sum,composite,composite,Admiralty terms,6,8,Admiralty separate terms,7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False
23,distance_sum,dynamic,operational,Distance Travelled,7,9,Distance Travelled,8,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False
24,port_frac,dynamic,operational,Activity,8,10,Activity,9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
25,trip_nunique,dynamic,operational,Activity,8,10,Activity,9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
26,missing_frac_sea,dynamic,quality,Data Quality,9,11,Data Quality,10,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
27,total_jump_distance,dynamic,quality,Data Quality,9,11,Data Quality,10,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
28,t_m_times_v_n_sum,dynamic,operational,,3,99,,99,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
29,W_component_first,static,characteristic,,4,99,,99,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
30,work_sum,dynamic,operational,,99,99,,99,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
31,draught_mean,dynamic,operational,,99,99,,99,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
32,speed_mean,dynamic,operational,,99,99,,99,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
33,Depth.Moulded..m.,static,characteristic,,99,99,,99,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
34,cubic_meter,static,characteristic,,99,99,,99,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
35,HP.Total.Propulsion,static,characteristic,,99,99,,99,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
36,t_m_times_v_n_squared_sum,dynamic,operational,,99,99,,99,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
37,t_m_times_v_n_cubed_sum,dynamic,operational,,99,99,,99,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
38,t_m_v_n_rel_sum,dynamic,operational,,99,99,,99,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39,t_m_v_n_rel_squared_sum,dynamic,operational,,99,99,,99,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40,t_m_v_n_rel_cubed_sum,dynamic,operational,,99,99,,99,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
